,ICD10,ICD10_formatted,PHECODE
248,B48.3,B483,117.0
249,S23.1,S231,830.0
250,F52.7,F527,605.0
251,K70.2,K702,317.11
252,R00.2,R002,427.9
253,C77.3,C773,198.1
254,O33.6,O336,652.0
255,T12,T12,800.0
256,X45,X45,981.0
257,E50.0,E500,261.1
258,L93.1,L931,695.41
259,A23.9,A239,41.0
260,P76.9,P769,656.6
261,P01.9,P019,658.0
262,J70.3,J703,500.0
263,D14.0,D140,212.0
264,N07.4,N074,580.11
265,O74,O74,668.0
266,T56.3,T563,985.0
267,Q01,Q01,752.1
268,M62.8,M628,772.0
269,N83.0,N830,628.0
270,C94.5,C945,200.0
271,N50.9,N509,608.0
272,P71,P71,656.3
273,O45.9,O459,635.2
274,G55.1,G551,722.9
275,N15.0,N150,580.32
276,T37.3,T373,961.0
277,Q63.2,Q632,751.22
278,M72.2,M722,728.7
279,C17.8,C178,159.2
280,D89.0,D890,270.31
281,F95.1,F951,313.2
282,I86.0,I860,454.0
283,Q52.6,Q526,751.11
284,Y83.1,Y831,851.0
285,G71.1,G711,359.1
286,D66,D66,286.13
287,F51.0,F510,327.4
288,S50.9,S509,915.0
289,T54.2,T542,983.0
290,N06.5,N065,580.11
291,Q43.1,Q431,750.21
292,H62.4,H624,380.1
293,S54.1,S541,907.0
294,C10.4,C104,149.1
295,F60.9,F609,301.0
296,Q43.5,Q435,750.21
