,OMIM_ID,HPO_ID
991,105565,3198
992,105565,4378
993,105570,6
994,105570,707
995,105580,6
996,105580,6763
997,105600,6
998,105600,952
999,105600,1972
1000,105600,4810
1001,105600,12543
1002,105650,6
1003,105650,175
1004,105650,204
1005,105650,218
1006,105650,252
1007,105650,270
1008,105650,278
1009,105650,316
1010,105650,347
1011,105650,457
1012,105650,465
1013,105650,470
1014,105650,486
1015,105650,494
1016,105650,774
1017,105650,878
1018,105650,946
1019,105650,980
1020,105650,1199
1021,105650,1249
1022,105650,1508
1023,105650,1511
1024,105650,1622
1025,105650,1629
1026,105650,1631
1027,105650,1635
1028,105650,1680
1029,105650,1873
1030,105650,1875
1031,105650,1894
1032,105650,1896
1033,105650,2669
1034,105650,2697
1035,105650,2863
1036,105650,2984
1037,105650,3003
1038,105650,3593
1039,105650,4322
1040,105650,4810
1041,105650,8437
1042,105650,8447
1043,105650,8475
1044,105650,9777
1045,105650,9778
1046,105650,9944
1047,105650,30270
1048,105800,6
1049,105800,2170
1050,105800,4944
1051,105805,6
1052,105805,2617
1053,105805,10438
1054,105830,6
1055,105830,154
1056,105830,158
1057,105830,248
1058,105830,303
1059,105830,327
1060,105830,486
1061,105830,490
1062,105830,545
1063,105830,577
1064,105830,635
1065,105830,639
1066,105830,687
1067,105830,749
1068,105830,752
1069,105830,1010
1070,105830,1250
1071,105830,1252
1072,105830,1263
1073,105830,1270
1074,105830,1290
1075,105830,1344
1076,105830,1347
1077,105830,1513
1078,105830,2019
1079,105830,2120
1080,105830,2136
1081,105830,2286
1082,105830,2307
1083,105830,2312
1084,105830,2353
1085,105830,2650
1086,105830,3745
1087,105830,5469
1088,105830,5484
1089,105830,5484
1090,105830,6887
1091,105830,6979
1092,105830,7240
1093,105830,8872
1094,105830,10808
1095,105830,10864
1096,105830,200085
1097,105835,1187
1098,105835,1216
1099,105835,3088
1100,105835,4322
1101,105835,8843
1102,105835,9193
1103,106050,6
1104,106050,962
1105,106050,3621
1106,106050,3677
1107,106050,3745
1108,106070,6
1109,106070,790
1110,106070,1028
1111,106070,1269
1112,106070,2239
1113,106070,2277
1114,106100,6
1115,106100,7
1116,106100,1600
1117,106100,2013
1118,106100,2014
1119,106100,2027
1120,106100,2960
1121,106100,3477
1122,106100,5225
1123,106100,10783
1124,106100,11855
1125,106100,12027
1126,106100,40078
1127,106100,100665
1128,106190,7
1129,106190,970
1130,106190,2046
1131,106190,7459
1132,106210,6
1133,106210,501
1134,106210,518
1135,106210,526
1136,106210,609
1137,106210,639
1138,106210,1952
1139,106210,2079
1140,106210,2126
1141,106210,7750
1142,106210,7759
1143,106210,31883
1144,106220,6
1145,106220,501
1146,106220,518
1147,106220,526
1148,106220,6498
1149,106230,6
1150,106230,482
1151,106230,518
1152,106230,526
1153,106240,6
1154,106240,9916
1155,106240,12378
1156,106250,6
1157,106250,175
1158,106250,204
1159,106250,9755
1160,106260,6
1161,106260,47
1162,106260,54
1163,106260,175
1164,106260,204
1165,106260,300
1166,106260,327
1167,106260,405
1168,106260,413
1169,106260,431
1170,106260,498
1171,106260,509
1172,106260,561
1173,106260,564
1174,106260,653
1175,106260,668
1176,106260,687
1177,106260,698
1178,106260,707
1179,106260,953
1180,106260,970
1181,106260,982
1182,106260,1592
1183,106260,1629
1184,106260,1643
1185,106260,1795
1186,106260,1798
1187,106260,2231
1188,106260,2232
1189,106260,2558
